"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8039006","","February 13, 2026 at 11:06 AM","Burlington","Flynn Ave","FLYNN AVE.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU002956","Burlington PD","2","0.003","None/Other","Day","Pine St","None","None","","VT0040100","Four-way Intersection","","Flynn Ave","","U5017","44.455436818825696,-73.21412481157178"
"8139844","","February 13, 2026 at 12:48 PM","Burlington","750 Pine St","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26BU002959","Burlington PD","9","999.99","None/Other","Day","Parking Lot","None","None","","VT0040100","Parking Lot","","750 Pine St","","0000","44.45885848460331,-73.21330990992293"
"8139072","","February 13, 2026 at 2:38 PM","Burlington","595 Shelburne St","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26BU002967","Burlington PD","9","999.99","None/Other","Day","595 Shelburne St","None","None","","VT0040100","Parking Lot","","595 Shelburne St","","0000","44.44895126604507,-73.21022434978394"
"8095313","","February 14, 2026 at 6:39 PM","Burlington","165 N Champlain St","N CHAMPLAIN ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003042","Burlington PD","2","0.347","None/Other","Night","Myrtle St","None","None","","VT0040100","Not at a Junction","","165 N Champlain St","","0000","44.48534570343572,-73.21779436521633"
"8038573","","February 14, 2026 at 9:43 PM","Burlington","Pearl St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003054","Burlington PD","11","2.435","None/Other","Night","N Willard St","None","None","","VT0040100","Four-way Intersection","","Pearl St","","0070","44.4806864787114,-73.20571891368435"
"8036983","","February 15, 2026 at 2:41 AM","Burlington","Colchester Ave","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003075","Burlington PD","11","4.137","None/Other","Night","Mill St","None","None","","VT0040100","Not at a Junction","","Colchester Ave","","0070","44.48843948790365,-73.18667020667208"
"8038687","","February 15, 2026 at 8:03 AM","Burlington","Main St","MAIN ST.","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003083","Burlington PD","2","0.704","None/Other","Day","S Willard St","None","None","","VT0040100","Not at a Junction","","Main St","","U5022","44.47618784389813,-73.205759600008"
"8067278","","February 15, 2026 at 6:05 PM","Burlington","Main St","US-2","Injury","Rear End","Clear","State Highway numbered route, Class 1 TH","26BU003118","Burlington PD","11","0.225","None/Other","Night","S Prospect St","Alcohol","None","","VT0040100","Four-way Intersection","None","Main St","Dry","0020","44.47634983329081,-73.20088705700626"
"8142200","","February 15, 2026 at 11:00 PM","Burlington","47 S Williams St","S WILLIAMS ST","Property Damage Only","","","Street or Town Highways in FA Urban Area","26BU003181","Burlington PD","5","999.99","None/Other","Night","Pearl St","None","None","","VT0040100","Not at a Junction","","47 S Williams St","","0000","44.48008718004395,-73.2033238954142"
"8038395","","February 16, 2026 at 1:54 PM","Burlington","College St","COLLEGE ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003149","Burlington PD","2","0.795","None/Other","Day","S Williams","None","None","","VT0040100","Four-way Intersection","","College St","","0000","44.47762068020154,-73.20307486111528"
"8039527","","February 17, 2026 at 11:48 AM","Burlington","S Willard St","US-7","Property Damage Only","","","State Highway numbered route, Class 1 TH","26BU003193","Burlington PD","11","2.21","None/Other","Day","College St","None","None","","VT0040100","Four-way Intersection","","S Willard St","","0070","44.47746671285491,-73.2055588337107"
"8132421","","February 18, 2026 at 7:39 AM","Burlington","Main St","","","","","","26BU003239","Burlington PD","","","None/Other","Day","St Paul St","None","None","","VT0040100","","","Main St","","",""
"8144900","","February 19, 2026 at 7:09 AM","Burlington","Washington St","WASHINGTON ST","Property Damage Only","","","Street or Town Highways in FA Urban Area","26BU003292","Burlington PD","5","999.99","None/Other","Day","Manhattan St","None","None","","VT0040100","Not at a Junction","","Washington St","","0000","44.48836281197725,-73.22410407048929"
"8040530","","February 19, 2026 at 1:45 PM","Burlington","East Ave","EAST AVE","Property Damage Only","","","Ramp or Spur","26BU003311","Burlington PD","7","0.028","None/Other","Day","Main St","None","None","","VT0040100","Four-way Intersection","","East Ave","","0000","44.472913846978784,-73.19018781934338"
"8144263","","February 20, 2026 at 10:44 AM","Burlington","669 Riverside Ave","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","26BU003377","Burlington PD","9","999.99","None/Other","Day","Parking Lot","None","None","","VT0040100","Parking Lot","","669 Riverside Ave","","0000","44.48980591351271,-73.20780323311784"
"8048171","","February 20, 2026 at 3:31 PM","Burlington","249 Saint Paul St","SAINT PAUL ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","26BU003394","Burlington PD","2","0.403","None/Other","Day","249 Saint Paul St","None","None","","VT0040100","Not at a Junction","","249 Saint Paul St","","0000","44.47230461551678,-73.21375066923328"
